,x,y,z
66,-5.00E-66,2.998720809,1.6
67,-5.00E-67,2.974994431,1.7
68,-5.00E-68,2.921542893,1.8
69,-5.00E-69,2.838900263,1.9
70,-5.00E-70,2.72789228,2
71,-5.00E-71,2.5896281,2.1
72,-5.00E-72,2.425489211,2.2
73,-5.00E-73,2.237115637,2.3
74,-5.00E-74,2.026389542,2.4
75,-5.00E-75,1.795416432,2.5
76,-5.00E-76,1.546504115,2.6
77,-5.00E-77,1.282139641,2.7
78,-5.00E-78,1.00496445,2.8
79,-5.00E-79,0.717747988,2.9
80,-5.00E-80,0.423360024,3
81,-5.00E-81,0.124741987,3.1
82,-5.00E-82,-0.17512243,3.2
83,-5.00E-83,-0.473237082,3.3
84,-5.00E-84,-0.766623306,3.4
85,-5.00E-85,-1.052349683,3.5
86,-5.00E-86,-1.32756133,3.6
87,-5.00E-87,-1.589508423,3.7
88,-5.00E-88,-1.835573673,3.8
89,-5.00E-89,-2.063298478,3.9
90,-5.00E-90,-2.270407486,4
91,-5.00E-91,-2.454831333,4.1
92,-5.00E-92,-2.614727317,4.2
93,-5.00E-93,-2.74849781,4.3
94,-5.00E-94,-2.854806222,4.4
95,-5.00E-95,-2.932590353,4.5
96,-5.00E-96,-2.981073011,4.6
97,-5.00E-97,-2.999769773,4.7
98,-5.00E-98,-2.988493827,4.8
99,-5.00E-99,-2.947357838,4.9
100,-4.9,1.372607681,-5
101,-0.49,2.337218018,-4.9
102,-0.049,2.972049653,-4.8
103,-0.0049,2.999915873,-4.7
104,-0.00049,2.981237517,-4.6
105,-4.90E-05,2.932621336,-4.5
106,-4.90E-06,2.854810739,-4.4
107,-4.90E-07,2.748498399,-4.3
108,-4.90E-08,2.614727389,-4.2
109,-4.90E-09,2.454831342,-4.1
110,-4.90E-10,2.270407487,-4
111,-4.90E-11,2.063298478,-3.9
112,-4.90E-12,1.835573673,-3.8
113,-4.90E-13,1.589508423,-3.7
114,-4.90E-14,1.32756133,-3.6
115,-4.90E-15,1.052349683,-3.5
116,-4.90E-16,0.766623306,-3.4
117,-4.90E-17,0.473237082,-3.3
118,-4.90E-18,0.17512243,-3.2
119,-4.90E-19,-0.124741987,-3.1
120,-4.90E-20,-0.423360024,-3
121,-4.90E-21,-0.717747988,-2.9
122,-4.90E-22,-1.00496445,-2.8
123,-4.90E-23,-1.282139641,-2.7
124,-4.90E-24,-1.546504115,-2.6
125,-4.90E-25,-1.795416432,-2.5
126,-4.90E-26,-2.026389542,-2.4
127,-4.90E-27,-2.237115637,-2.3
128,-4.90E-28,-2.425489211,-2.2
129,-4.90E-29,-2.5896281,-2.1
130,-4.90E-30,-2.72789228,-2
131,-4.90E-31,-2.838900263,-1.9
132,-4.90E-32,-2.921542893,-1.8
133,-4.90E-33,-2.974994431,-1.7
134,-4.90E-34,-2.998720809,-1.6
135,-4.90E-35,-2.99248496,-1.5
136,-4.90E-36,-2.95634919,-1.4
137,-4.90E-37,-2.890674556,-1.3
138,-4.90E-38,-2.796117258,-1.2
139,-4.90E-39,-2.67362208,-1.1
140,-4.90E-40,-2.524412954,-1
141,-4.90E-41,-2.349980729,-0.9
142,-4.90E-42,-2.152068273,-0.8
143,-4.90E-43,-1.932653062,-0.7
144,-4.90E-44,-1.69392742,-0.6
145,-4.90E-45,-1.438276616,-0.5
146,-4.90E-46,-1.168255027,-0.4
147,-4.90E-47,-0.88656062,-0.3
148,-4.90E-48,-0.596007992,-0.2
149,-4.90E-49,-0.29950025,-0.1
150,-4.90E-50,-1.47E-49,0
151,-4.90E-51,0.29950025,0.1
152,-4.90E-52,0.596007992,0.2
153,-4.90E-53,0.88656062,0.3
154,-4.90E-54,1.168255027,0.4
155,-4.90E-55,1.438276616,0.5
156,-4.90E-56,1.69392742,0.6
157,-4.90E-57,1.932653062,0.7
158,-4.90E-58,2.152068273,0.8
159,-4.90E-59,2.349980729,0.9
160,-4.90E-60,2.524412954,1
161,-4.90E-61,2.67362208,1.1
162,-4.90E-62,2.796117258,1.2
163,-4.90E-63,2.890674556,1.3
164,-4.90E-64,2.95634919,1.4
165,-4.90E-65,2.99248496,1.5
166,-4.90E-66,2.998720809,1.6
167,-4.90E-67,2.974994431,1.7
168,-4.90E-68,2.921542893,1.8
169,-4.90E-69,2.838900263,1.9
170,-4.90E-70,2.72789228,2
171,-4.90E-71,2.5896281,2.1
172,-4.90E-72,2.425489211,2.2
173,-4.90E-73,2.237115637,2.3
174,-4.90E-74,2.026389542,2.4
175,-4.90E-75,1.795416432,2.5
176,-4.90E-76,1.546504115,2.6
177,-4.90E-77,1.282139641,2.7
178,-4.90E-78,1.00496445,2.8
179,-4.90E-79,0.717747988,2.9
180,-4.90E-80,0.423360024,3
181,-4.90E-81,0.124741987,3.1
182,-4.90E-82,-0.17512243,3.2
183,-4.90E-83,-0.473237082,3.3
184,-4.90E-84,-0.766623306,3.4
185,-4.90E-85,-1.052349683,3.5
186,-4.90E-86,-1.32756133,3.6
187,-4.90E-87,-1.589508423,3.7
188,-4.90E-88,-1.835573673,3.8
189,-4.90E-89,-2.063298478,3.9
190,-4.90E-90,-2.270407486,4
191,-4.90E-91,-2.454831333,4.1
192,-4.90E-92,-2.614727317,4.2
193,-4.90E-93,-2.74849781,4.3
194,-4.90E-94,-2.854806222,4.4
195,-4.90E-95,-2.932590353,4.5
196,-4.90E-96,-2.981073011,4.6
197,-4.90E-97,-2.999769773,4.7
198,-4.90E-98,-2.988493827,4.8
199,-4.90E-99,-2.947357838,4.9
200,-4.8,1.099437388,-5
201,-0.48,2.355908853,-4.9
202,-0.048,2.972456727,-4.8
203,-0.0048,2.999913611,-4.7
204,-0.00048,2.981234167,-4.6
205,-4.80E-05,2.932620704,-4.5
206,-4.80E-06,2.854810647,-4.4
207,-4.80E-07,2.748498387,-4.3
208,-4.80E-08,2.614727388,-4.2
209,-4.80E-09,2.454831341,-4.1
210,-4.80E-10,2.270407487,-4
211,-4.80E-11,2.063298478,-3.9
212,-4.80E-12,1.835573673,-3.8
213,-4.80E-13,1.589508423,-3.7
214,-4.80E-14,1.32756133,-3.6
215,-4.80E-15,1.052349683,-3.5
216,-4.80E-16,0.766623306,-3.4
217,-4.80E-17,0.473237082,-3.3
218,-4.80E-18,0.17512243,-3.2
219,-4.80E-19,-0.124741987,-3.1
220,-4.80E-20,-0.423360024,-3
221,-4.80E-21,-0.717747988,-2.9
222,-4.80E-22,-1.00496445,-2.8
223,-4.80E-23,-1.282139641,-2.7
224,-4.80E-24,-1.546504115,-2.6
225,-4.80E-25,-1.795416432,-2.5
226,-4.80E-26,-2.026389542,-2.4
227,-4.80E-27,-2.237115637,-2.3
228,-4.80E-28,-2.425489211,-2.2
229,-4.80E-29,-2.5896281,-2.1
230,-4.80E-30,-2.72789228,-2
231,-4.80E-31,-2.838900263,-1.9
232,-4.80E-32,-2.921542893,-1.8
233,-4.80E-33,-2.974994431,-1.7
234,-4.80E-34,-2.998720809,-1.6
235,-4.80E-35,-2.99248496,-1.5
236,-4.80E-36,-2.95634919,-1.4
237,-4.80E-37,-2.890674556,-1.3
238,-4.80E-38,-2.796117258,-1.2
239,-4.80E-39,-2.67362208,-1.1
240,-4.80E-40,-2.524412954,-1
241,-4.80E-41,-2.349980729,-0.9
242,-4.80E-42,-2.152068273,-0.8
243,-4.80E-43,-1.932653062,-0.7
244,-4.80E-44,-1.69392742,-0.6
245,-4.80E-45,-1.438276616,-0.5
246,-4.80E-46,-1.168255027,-0.4
247,-4.80E-47,-0.88656062,-0.3
248,-4.80E-48,-0.596007992,-0.2
249,-4.80E-49,-0.29950025,-0.1
250,-4.80E-50,-1.44E-49,0
251,-4.80E-51,0.29950025,0.1
252,-4.80E-52,0.596007992,0.2
253,-4.80E-53,0.88656062,0.3
254,-4.80E-54,1.168255027,0.4
255,-4.80E-55,1.438276616,0.5
256,-4.80E-56,1.69392742,0.6
257,-4.80E-57,1.932653062,0.7
258,-4.80E-58,2.152068273,0.8
259,-4.80E-59,2.349980729,0.9
260,-4.80E-60,2.524412954,1
261,-4.80E-61,2.67362208,1.1
262,-4.80E-62,2.796117258,1.2
263,-4.80E-63,2.890674556,1.3
264,-4.80E-64,2.95634919,1.4
265,-4.80E-65,2.99248496,1.5
266,-4.80E-66,2.998720809,1.6
267,-4.80E-67,2.974994431,1.7
268,-4.80E-68,2.921542893,1.8
269,-4.80E-69,2.838900263,1.9
270,-4.80E-70,2.72789228,2
271,-4.80E-71,2.5896281,2.1
272,-4.80E-72,2.425489211,2.2
273,-4.80E-73,2.237115637,2.3
274,-4.80E-74,2.026389542,2.4
275,-4.80E-75,1.795416432,2.5
276,-4.80E-76,1.546504115,2.6
277,-4.80E-77,1.282139641,2.7
278,-4.80E-78,1.00496445,2.8
279,-4.80E-79,0.717747988,2.9
280,-4.80E-80,0.423360024,3
281,-4.80E-81,0.124741987,3.1
282,-4.80E-82,-0.17512243,3.2
283,-4.80E-83,-0.473237082,3.3
284,-4.80E-84,-0.766623306,3.4
285,-4.80E-85,-1.052349683,3.5
286,-4.80E-86,-1.32756133,3.6
287,-4.80E-87,-1.589508423,3.7
288,-4.80E-88,-1.835573673,3.8
289,-4.80E-89,-2.063298478,3.9
290,-4.80E-90,-2.270407486,4
291,-4.80E-91,-2.454831333,4.1
292,-4.80E-92,-2.614727317,4.2
293,-4.80E-93,-2.74849781,4.3
294,-4.80E-94,-2.854806222,4.4
295,-4.80E-95,-2.932590353,4.5
296,-4.80E-96,-2.981073011,4.6
297,-4.80E-97,-2.999769773,4.7
298,-4.80E-98,-2.988493827,4.8
299,-4.80E-99,-2.947357838,4.9
300,-4.7,0.815281879,-5
301,-0.47,2.3743641,-4.9
302,-0.047,2.972860828,-4.8
303,-0.0047,2.99991132,-4.7
304,-0.00047,2.981230817,-4.6
305,-4.70E-05,2.932620072,-4.5
306,-4.70E-06,2.854810555,-4.4
307,-4.70E-07,2.748498375,-4.3
308,-4.70E-08,2.614727386,-4.2
309,-4.70E-09,2.454831341,-4.1
310,-4.70E-10,2.270407487,-4
311,-4.70E-11,2.063298478,-3.9
312,-4.70E-12,1.835573673,-3.8
313,-4.70E-13,1.589508423,-3.7
314,-4.70E-14,1.32756133,-3.6
315,-4.70E-15,1.052349683,-3.5
316,-4.70E-16,0.766623306,-3.4
317,-4.70E-17,0.473237082,-3.3
318,-4.70E-18,0.17512243,-3.2
319,-4.70E-19,-0.124741987,-3.1
320,-4.70E-20,-0.423360024,-3
321,-4.70E-21,-0.717747988,-2.9
322,-4.70E-22,-1.00496445,-2.8
323,-4.70E-23,-1.282139641,-2.7
324,-4.70E-24,-1.546504115,-2.6
325,-4.70E-25,-1.795416432,-2.5
326,-4.70E-26,-2.026389542,-2.4
327,-4.70E-27,-2.237115637,-2.3
328,-4.70E-28,-2.425489211,-2.2
329,-4.70E-29,-2.5896281,-2.1
330,-4.70E-30,-2.72789228,-2
331,-4.70E-31,-2.838900263,-1.9
332,-4.70E-32,-2.921542893,-1.8
333,-4.70E-33,-2.974994431,-1.7
334,-4.70E-34,-2.998720809,-1.6
335,-4.70E-35,-2.99248496,-1.5
336,-4.70E-36,-2.95634919,-1.4
337,-4.70E-37,-2.890674556,-1.3
338,-4.70E-38,-2.796117258,-1.2
339,-4.70E-39,-2.67362208,-1.1
340,-4.70E-40,-2.524412954,-1
341,-4.70E-41,-2.349980729,-0.9
342,-4.70E-42,-2.152068273,-0.8
343,-4.70E-43,-1.932653062,-0.7
344,-4.70E-44,-1.69392742,-0.6
345,-4.70E-45,-1.438276616,-0.5
346,-4.70E-46,-1.168255027,-0.4
347,-4.70E-47,-0.88656062,-0.3
348,-4.70E-48,-0.596007992,-0.2
349,-4.70E-49,-0.29950025,-0.1
350,-4.70E-50,-1.41E-49,0
351,-4.70E-51,0.29950025,0.1
352,-4.70E-52,0.596007992,0.2
353,-4.70E-53,0.88656062,0.3
354,-4.70E-54,1.168255027,0.4
355,-4.70E-55,1.438276616,0.5
356,-4.70E-56,1.69392742,0.6
357,-4.70E-57,1.932653062,0.7
358,-4.70E-58,2.152068273,0.8
359,-4.70E-59,2.349980729,0.9
360,-4.70E-60,2.524412954,1
361,-4.70E-61,2.67362208,1.1
362,-4.70E-62,2.796117258,1.2
363,-4.70E-63,2.890674556,1.3
364,-4.70E-64,2.95634919,1.4
365,-4.70E-65,2.99248496,1.5
366,-4.70E-66,2.998720809,1.6
367,-4.70E-67,2.974994431,1.7
368,-4.70E-68,2.921542893,1.8
369,-4.70E-69,2.838900263,1.9
370,-4.70E-70,2.72789228,2
371,-4.70E-71,2.5896281,2.1
372,-4.70E-72,2.425489211,2.2
373,-4.70E-73,2.237115637,2.3
374,-4.70E-74,2.026389542,2.4
375,-4.70E-75,1.795416432,2.5
376,-4.70E-76,1.546504115,2.6
377,-4.70E-77,1.282139641,2.7
378,-4.70E-78,1.00496445,2.8
379,-4.70E-79,0.717747988,2.9
380,-4.70E-80,0.423360024,3
381,-4.70E-81,0.124741987,3.1
382,-4.70E-82,-0.17512243,3.2
383,-4.70E-83,-0.473237082,3.3
384,-4.70E-84,-0.766623306,3.4
385,-4.70E-85,-1.052349683,3.5
386,-4.70E-86,-1.32756133,3.6
387,-4.70E-87,-1.589508423,3.7
388,-4.70E-88,-1.835573673,3.8
389,-4.70E-89,-2.063298478,3.9
390,-4.70E-90,-2.270407486,4
391,-4.70E-91,-2.454831333,4.1
392,-4.70E-92,-2.614727317,4.2
393,-4.70E-93,-2.74849781,4.3
394,-4.70E-94,-2.854806222,4.4
395,-4.70E-95,-2.932590353,4.5
396,-4.70E-96,-2.981073011,4.6
397,-4.70E-97,-2.999769773,4.7
398,-4.70E-98,-2.988493827,4.8
399,-4.70E-99,-2.947357838,4.9
400,-4.6,0.522980344,-5
401,-0.46,2.392581912,-4.9
402,-0.046,2.973261956,-4.8
403,-0.0046,2.999908998,-4.7
404,-0.00046,2.981227466,-4.6
405,-4.60E-05,2.93261944,-4.5
406,-4.60E-06,2.854810463,-4.4
407,-4.60E-07,2.748498363,-4.3
408,-4.60E-08,2.614727385,-4.2
409,-4.60E-09,2.454831341,-4.1
410,-4.60E-10,2.270407487,-4
411,-4.60E-11,2.063298478,-3.9
412,-4.60E-12,1.835573673,-3.8
413,-4.60E-13,1.589508423,-3.7
414,-4.60E-14,1.32756133,-3.6
415,-4.60E-15,1.052349683,-3.5
416,-4.60E-16,0.766623306,-3.4
417,-4.60E-17,0.473237082,-3.3
418,-4.60E-18,0.17512243,-3.2
419,-4.60E-19,-0.124741987,-3.1
420,-4.60E-20,-0.423360024,-3
421,-4.60E-21,-0.717747988,-2.9
422,-4.60E-22,-1.00496445,-2.8
423,-4.60E-23,-1.282139641,-2.7
424,-4.60E-24,-1.546504115,-2.6
425,-4.60E-25,-1.795416432,-2.5
426,-4.60E-26,-2.026389542,-2.4
427,-4.60E-27,-2.237115637,-2.3
428,-4.60E-28,-2.425489211,-2.2
429,-4.60E-29,-2.5896281,-2.1
430,-4.60E-30,-2.72789228,-2
431,-4.60E-31,-2.838900263,-1.9
432,-4.60E-32,-2.921542893,-1.8
433,-4.60E-33,-2.974994431,-1.7
434,-4.60E-34,-2.998720809,-1.6
435,-4.60E-35,-2.99248496,-1.5
436,-4.60E-36,-2.95634919,-1.4
437,-4.60E-37,-2.890674556,-1.3
438,-4.60E-38,-2.796117258,-1.2
439,-4.60E-39,-2.67362208,-1.1
440,-4.60E-40,-2.524412954,-1
441,-4.60E-41,-2.349980729,-0.9
442,-4.60E-42,-2.152068273,-0.8
443,-4.60E-43,-1.932653062,-0.7
444,-4.60E-44,-1.69392742,-0.6
445,-4.60E-45,-1.438276616,-0.5
446,-4.60E-46,-1.168255027,-0.4
447,-4.60E-47,-0.88656062,-0.3
448,-4.60E-48,-0.596007992,-0.2
449,-4.60E-49,-0.29950025,-0.1
450,-4.60E-50,-1.38E-49,0
451,-4.60E-51,0.29950025,0.1
452,-4.60E-52,0.596007992,0.2
453,-4.60E-53,0.88656062,0.3
454,-4.60E-54,1.168255027,0.4
455,-4.60E-55,1.438276616,0.5
456,-4.60E-56,1.69392742,0.6
457,-4.60E-57,1.932653062,0.7
458,-4.60E-58,2.152068273,0.8
459,-4.60E-59,2.349980729,0.9
460,-4.60E-60,2.524412954,1
461,-4.60E-61,2.67362208,1.1
462,-4.60E-62,2.796117258,1.2
463,-4.60E-63,2.890674556,1.3
464,-4.60E-64,2.95634919,1.4
465,-4.60E-65,2.99248496,1.5
466,-4.60E-66,2.998720809,1.6
467,-4.60E-67,2.974994431,1.7
468,-4.60E-68,2.921542893,1.8
469,-4.60E-69,2.838900263,1.9
470,-4.60E-70,2.72789228,2
471,-4.60E-71,2.5896281,2.1
472,-4.60E-72,2.425489211,2.2
473,-4.60E-73,2.237115637,2.3
474,-4.60E-74,2.026389542,2.4
475,-4.60E-75,1.795416432,2.5
476,-4.60E-76,1.546504115,2.6
477,-4.60E-77,1.282139641,2.7
478,-4.60E-78,1.00496445,2.8
479,-4.60E-79,0.717747988,2.9
480,-4.60E-80,0.423360024,3
481,-4.60E-81,0.124741987,3.1
482,-4.60E-82,-0.17512243,3.2
483,-4.60E-83,-0.473237082,3.3
484,-4.60E-84,-0.766623306,3.4
485,-4.60E-85,-1.052349683,3.5
486,-4.60E-86,-1.32756133,3.6
487,-4.60E-87,-1.589508423,3.7
488,-4.60E-88,-1.835573673,3.8
489,-4.60E-89,-2.063298478,3.9
490,-4.60E-90,-2.270407486,4
491,-4.60E-91,-2.454831333,4.1
492,-4.60E-92,-2.614727317,4.2
493,-4.60E-93,-2.74849781,4.3
494,-4.60E-94,-2.854806222,4.4
495,-4.60E-95,-2.932590353,4.5
496,-4.60E-96,-2.981073011,4.6
497,-4.60E-97,-2.999769773,4.7
498,-4.60E-98,-2.988493827,4.8
499,-4.60E-99,-2.947357838,4.9
500,-4.5,0.225453361,-5
501,-0.45,2.410560468,-4.9
502,-0.045,2.973660111,-4.8
503,-0.0045,2.999906646,-4.7
504,-0.00045,2.981224115,-4.6
505,-4.50E-05,2.932618807,-4.5
506,-4.50E-06,2.854810371,-4.4
507,-4.50E-07,2.748498351,-4.3
508,-4.50E-08,2.614727383,-4.2
509,-4.50E-09,2.454831341,-4.1
510,-4.50E-10,2.270407487,-4
511,-4.50E-11,2.063298478,-3.9
512,-4.50E-12,1.835573673,-3.8
513,-4.50E-13,1.589508423,-3.7
514,-4.50E-14,1.32756133,-3.6
515,-4.50E-15,1.052349683,-3.5
516,-4.50E-16,0.766623306,-3.4
517,-4.50E-17,0.473237082,-3.3
518,-4.50E-18,0.17512243,-3.2
519,-4.50E-19,-0.124741987,-3.1
520,-4.50E-20,-0.423360024,-3
521,-4.50E-21,-0.717747988,-2.9
522,-4.50E-22,-1.00496445,-2.8
523,-4.50E-23,-1.282139641,-2.7
524,-4.50E-24,-1.546504115,-2.6
525,-4.50E-25,-1.795416432,-2.5
526,-4.50E-26,-2.026389542,-2.4
527,-4.50E-27,-2.237115637,-2.3
528,-4.50E-28,-2.425489211,-2.2
529,-4.50E-29,-2.5896281,-2.1
530,-4.50E-30,-2.72789228,-2
531,-4.50E-31,-2.838900263,-1.9
532,-4.50E-32,-2.921542893,-1.8
533,-4.50E-33,-2.974994431,-1.7
534,-4.50E-34,-2.998720809,-1.6
535,-4.50E-35,-2.99248496,-1.5
536,-4.50E-36,-2.95634919,-1.4
537,-4.50E-37,-2.890674556,-1.3
538,-4.50E-38,-2.796117258,-1.2
539,-4.50E-39,-2.67362208,-1.1
540,-4.50E-40,-2.524412954,-1
541,-4.50E-41,-2.349980729,-0.9
542,-4.50E-42,-2.152068273,-0.8
543,-4.50E-43,-1.932653062,-0.7
544,-4.50E-44,-1.69392742,-0.6
545,-4.50E-45,-1.438276616,-0.5
546,-4.50E-46,-1.168255027,-0.4
547,-4.50E-47,-0.88656062,-0.3
548,-4.50E-48,-0.596007992,-0.2
549,-4.50E-49,-0.29950025,-0.1
550,-4.50E-50,-1.35E-49,0
551,-4.50E-51,0.29950025,0.1
552,-4.50E-52,0.596007992,0.2
553,-4.50E-53,0.88656062,0.3
554,-4.50E-54,1.168255027,0.4
555,-4.50E-55,1.438276616,0.5
556,-4.50E-56,1.69392742,0.6
557,-4.50E-57,1.932653062,0.7
558,-4.50E-58,2.152068273,0.8
559,-4.50E-59,2.349980729,0.9
560,-4.50E-60,2.524412954,1
561,-4.50E-61,2.67362208,1.1
562,-4.50E-62,2.796117258,1.2
563,-4.50E-63,2.890674556,1.3
564,-4.50E-64,2.95634919,1.4
565,-4.50E-65,2.99248496,1.5
566,-4.50E-66,2.998720809,1.6
567,-4.50E-67,2.974994431,1.7
568,-4.50E-68,2.921542893,1.8
569,-4.50E-69,2.838900263,1.9
570,-4.50E-70,2.72789228,2
571,-4.50E-71,2.5896281,2.1
572,-4.50E-72,2.425489211,2.2
573,-4.50E-73,2.237115637,2.3
574,-4.50E-74,2.026389542,2.4
575,-4.50E-75,1.795416432,2.5
576,-4.50E-76,1.546504115,2.6
577,-4.50E-77,1.282139641,2.7
578,-4.50E-78,1.00496445,2.8
579,-4.50E-79,0.717747988,2.9
580,-4.50E-80,0.423360024,3
581,-4.50E-81,0.124741987,3.1
582,-4.50E-82,-0.17512243,3.2
583,-4.50E-83,-0.473237082,3.3
584,-4.50E-84,-0.766623306,3.4
585,-4.50E-85,-1.052349683,3.5
586,-4.50E-86,-1.32756133,3.6
587,-4.50E-87,-1.589508423,3.7
588,-4.50E-88,-1.835573673,3.8
589,-4.50E-89,-2.063298478,3.9
590,-4.50E-90,-2.270407486,4
591,-4.50E-91,-2.454831333,4.1
592,-4.50E-92,-2.614727317,4.2
593,-4.50E-93,-2.74849781,4.3
594,-4.50E-94,-2.854806222,4.4
595,-4.50E-95,-2.932590353,4.5
596,-4.50E-96,-2.981073011,4.6
597,-4.50E-97,-2.999769773,4.7
598,-4.50E-98,-2.988493827,4.8
599,-4.50E-99,-2.947357838,4.9
600,-4.4,-0.074326276,-5
601,-0.44,2.428297969,-4.9
602,-0.044,2.974055292,-4.8
603,-0.0044,2.999904265,-4.7
604,-0.00044,2.981220764,-4.6
605,-4.40E-05,2.932618175,-4.5
606,-4.40E-06,2.854810278,-4.4
607,-4.40E-07,2.748498339,-4.3
608,-4.40E-08,2.614727382,-4.2
609,-4.40E-09,2.454831341,-4.1
610,-4.40E-10,2.270407487,-4
611,-4.40E-11,2.063298478,-3.9
612,-4.40E-12,1.835573673,-3.8
613,-4.40E-13,1.589508423,-3.7
614,-4.40E-14,1.32756133,-3.6
615,-4.40E-15,1.052349683,-3.5
616,-4.40E-16,0.766623306,-3.4
617,-4.40E-17,0.473237082,-3.3
618,-4.40E-18,0.17512243,-3.2
619,-4.40E-19,-0.124741987,-3.1
620,-4.40E-20,-0.423360024,-3
621,-4.40E-21,-0.717747988,-2.9
622,-4.40E-22,-1.00496445,-2.8
623,-4.40E-23,-1.282139641,-2.7
624,-4.40E-24,-1.546504115,-2.6
625,-4.40E-25,-1.795416432,-2.5
626,-4.40E-26,-2.026389542,-2.4
627,-4.40E-27,-2.237115637,-2.3
628,-4.40E-28,-2.425489211,-2.2
629,-4.40E-29,-2.5896281,-2.1
630,-4.40E-30,-2.72789228,-2
631,-4.40E-31,-2.838900263,-1.9
632,-4.40E-32,-2.921542893,-1.8
633,-4.40E-33,-2.974994431,-1.7
634,-4.40E-34,-2.998720809,-1.6
635,-4.40E-35,-2.99248496,-1.5
636,-4.40E-36,-2.95634919,-1.4
637,-4.40E-37,-2.890674556,-1.3
638,-4.40E-38,-2.796117258,-1.2
639,-4.40E-39,-2.67362208,-1.1
640,-4.40E-40,-2.524412954,-1
641,-4.40E-41,-2.349980729,-0.9
642,-4.40E-42,-2.152068273,-0.8
643,-4.40E-43,-1.932653062,-0.7
644,-4.40E-44,-1.69392742,-0.6
645,-4.40E-45,-1.438276616,-0.5
646,-4.40E-46,-1.168255027,-0.4
647,-4.40E-47,-0.88656062,-0.3
648,-4.40E-48,-0.596007992,-0.2
649,-4.40E-49,-0.29950025,-0.1
650,-4.40E-50,-1.32E-49,0
651,-4.40E-51,0.29950025,0.1
652,-4.40E-52,0.596007992,0.2
653,-4.40E-53,0.88656062,0.3
654,-4.40E-54,1.168255027,0.4
655,-4.40E-55,1.438276616,0.5
656,-4.40E-56,1.69392742,0.6
657,-4.40E-57,1.932653062,0.7
658,-4.40E-58,2.152068273,0.8
659,-4.40E-59,2.349980729,0.9
660,-4.40E-60,2.524412954,1
661,-4.40E-61,2.67362208,1.1
662,-4.40E-62,2.796117258,1.2
663,-4.40E-63,2.890674556,1.3
664,-4.40E-64,2.95634919,1.4
665,-4.40E-65,2.99248496,1.5
666,-4.40E-66,2.998720809,1.6
667,-4.40E-67,2.974994431,1.7
668,-4.40E-68,2.921542893,1.8
669,-4.40E-69,2.838900263,1.9
670,-4.40E-70,2.72789228,2
671,-4.40E-71,2.5896281,2.1
672,-4.40E-72,2.425489211,2.2
673,-4.40E-73,2.237115637,2.3
674,-4.40E-74,2.026389542,2.4
675,-4.40E-75,1.795416432,2.5
